ID,Number,Title,Duration,Key,Year,Forces,YouTubeID,Genre
BWV15,15,Denn du wirst meine Seele nicht in der Hölle lassen,624,C major,—,"For 4 voices, mixed chorus, orchestra",BDWbT1DdrqY,Sacred cantatas
BWV16,16,"Herr Gott, dich loben wir",1071,A minor,1725,"For 3 voices, mixed chorus, orchestra",-aTEsoVz_HY,Sacred cantatas
BWV17,17,"Wer Dank opfert, der preiset mich",891,A major,1726,"For 4 voices, mixed chorus, orchestra",yob1mrDKNwg,Sacred cantatas
BWV18,18,Gleichwie der Regen und Schnee vom Himmel fällt,876,G minor,"1713–14, rev. 1724","For 3 voices, mixed chorus, orchestra",GGz2Npl7oL0,Sacred cantatas
BWV19,19,Es erhub sich ein Streit,1154,C major,1726,"For 3 voices, mixed chorus, orchestra",jeebIU0xBhM,Sacred cantatas
BWV20,20,"O Ewigkeit, du Donnerwort",1590,F major,1724,"For 3 voices, mixed chorus, orchestra",RaWkWtC6s_s,Sacred cantatas
BWV21,21,Ich hatte viel Bekümmernis,2300,C minor,1714,"For 3 voices, mixed chorus, orchestra",ln9MBa8lXV4,Sacred cantatas
BWV22,22,Jesus nahm zu sich die Zwölfe,981,G minor,1723,"For 3 voices, mixed chorus, orchestra",3Usq-DJ2rKo,Sacred cantatas
BWV23,23,Du wahrer Gott und Davids Sohn,913,C minor,"1723, rev. 1724","For 3 voices, mixed chorus, orchestra",rWY02RC2LSQ,Sacred cantatas
BWV24,24,Ein ungefärbt Gemüte,922,F major,1723,"For 4 voices, mixed chorus, orchestra",nnCL72x-JnA,Sacred cantatas
BWV25,25,Es ist nichts Gesundes an meinem Leibe,1062,E minor,1723,"For 3 voices, mixed chorus, orchestra",njVEgOVAUMY,Sacred cantatas
BWV26,26,"Ach wie flüchtig, ach wie nichtig",998,A minor,1724,"For 4 voices, mixed chorus, orchestra",7pj_lu5Q9KE,Sacred cantatas
BWV27,27,"Wer weiss, wie nahe mir mein Ende",940,C minor,1726,"For 4 voices, mixed chorus, orchestra",ufReNkKqzaY,Sacred cantatas
BWV28,28,Gottlob! nun geht das Jahr zu Ende,976,A minor,1725,"For 4 voices, mixed chorus, orchestra",VEt7zijFAKk,Sacred cantatas
BWV29,29,"Wir danken dir, Gott, wir danken dir",1320,D major,1731,"For 4 voices, mixed chorus, orchestra",xaiIchwHWOs,Secular cantatas
BWV30,30,"Freue dich, erlöste Schar",2259,D major,1738,"For 4 voices, mixed chorus, orchestra",i1XpNY9Glzc,Sacred cantatas
BWV31,31,"Der Himmel lacht, die Erde jubiliert",1258,C major,"1715, rev. 1724","For 3 voices, mixed chorus, orchestra",_idhkVfiXug,Sacred cantatas
BWV32,32,"Liebster Jesu, mein Verlangen",1382,E minor,1726,"For 2 voices, mixed chorus, orchestra",855wc59LUJI,Sacred cantatas
BWV33,33,"Allein zu dir, Herr Jesu Christ",1262,A minor,1724,"For 3 voices, mixed chorus, orchestra",M1mvUleTS4Q,Sacred cantatas
BWV34,34,"O ewiges Feuer, o Ursprung der Liebe",931,D major,1746–47,"For 3 voices, mixed chorus, orchestra",7PPT-TeTyH8,Sacred cantatas
BWV35,35,Geist und Seele wird verwirret,1506,D minor,1726,"For voice, orchestra",2Xp5tzWq6pU,Sacred cantatas
BWV36,36,Schwingt freudig euch empor,1779,D major,"1725–30?, rev. 1731","For 3 voices, mixed chorus, orchestra",pYGHA8LzorY,Sacred cantatas
BWV37,37,Wer da glaubet und getauft wird,895,A major,1724,"For 4 voices, mixed chorus, orchestra",enhosGRodpg,Sacred cantatas
BWV38,38,Aus tiefer Not schrei ich zu dir,1013,E minor,1724,"For 4 voices, mixed chorus, orchestra",zjHzIFWKPOA,Sacred cantatas
BWV39,39,Brich dem Hungrigen dein Brot,1394,G minor,1726,"For 3 voices, mixed chorus, orchestra",yV25KhUH1BE,Sacred cantatas
BWV40,40,Dazu ist erschienen der Sohn Gottes,905,F major,1723,"For 3 voices, mixed chorus, orchestra",uOgD8j0ixXg,Sacred cantatas
BWV41,41,"Jesu, nun sei gepreiset",1514,C major,1724,"For 4 voices, mixed chorus, orchestra",r6TRChdfdow,Sacred cantatas
BWV42,42,Am Abend aber desselbigen Sabbats,1568,D major,1725,"For 4 voices, mixed chorus, orchestra",0pE9YBSYS-E,Sacred cantatas
BWV43,43,Gott fähret auf mit Jauchzen,1230,C major,1726,"For 4 voices, mixed chorus, orchestra",CaagOV9Usak,Sacred cantatas
BWV44,44,Sie werden euch in den Bann thun,1074,G minor,1724,"For 4 voices, mixed chorus, orchestra",FFU_DsTiiKI,Sacred cantatas
BWV45,45,"Es ist dir gesagt, Mensch, was gut ist",1040,E major,1726,"For 4 voices, mixed chorus, orchestra",S2Is1A5NAYA,Sacred cantatas
BWV46,46,Schauet doch und sehet,1012,D minor,1723,"For 3 voices, mixed chorus, orchestra",CrDlsZRA9q8,Sacred cantatas
BWV47,47,Wer sich selbst erhöhet,1338,G minor,1726,"For 2 voices, mixed chorus, orchestra",R17BthV60uo,Sacred cantatas
BWV48,48,"Ich elender Mensch, wer wird mich erlösen",882,G minor,1723,"For 2 voices, mixed chorus, orchestra",suei46SsROg,Sacred cantatas
BWV49,49,Ich geh' und suche mit Verlangen,1523,E major,1726,"For 2 voices, orchestra",NJHtKOYNVkc,Sacred cantatas
BWV50,50,Nun ist das Heil und die Kraft,220,D major,1723,"For 2 mixed choruses, orchestra",AC_2_y2n0qc,Sacred cantatas
BWV51,51,Jauchzet Gott in allen Landen,1056,C major,1730,"For voice, trumpet, strings, continuo",mM9lpVIC_JQ,Sacred cantatas
BWV52,52,"Falsche Welt, dir trau ich nicht",993,F major,1726,"For voice, mixed chorus, orchestra",3piZY4M6Bl0,Sacred cantatas
BWV53,53,"Schlage doch, gewünschte Stunde",349,E major,—,"For voice, percussion, organ, strings",OzARrghkBNc,Sacred cantatas
BWV54,54,Widerstehe doch der Sünde,665,E♭ major,1714,"For voice, strings, continuo",d1bBpIdyV0c,Sacred cantatas
BWV55,55,"Ich armer Mensch, ich Sündenknecht",779,G minor,1726,"For voice, mixed chorus, orchestra",HbsGJOW7AmI,Sacred cantatas
BWV56,56,Ich will den Kreuzstab gerne tragen,1184,G minor,1726,"For voice, mixed chorus, orchestra",1PxJKPIGSB8,Sacred cantatas
BWV57,57,Selig ist der Mann,1342,G minor,1726,"For 2 voices, mixed chorus, orchestra",m7Ut6MGNNqg,Sacred cantatas
BWV58,58,"Ach Gott, wie manches Herzeleid",754,C major,"1727, rev. 1733–34?","For 2 voices, orchestra",4Ur1ywPTa9A,Sacred cantatas
BWV59,59,"Wer mich liebet, der wird mein Wort halten",723,C major,1724,"For 2 voices, mixed chorus, orchestra",f5eJ1Rzbsv8,Sacred cantatas
BWV60,60,"O Ewigkeit, du Donnerwort (Dialogue zwischen Furcht und Hoffnung)",968,D major,1723,"For 3 voices, mixed chorus, orchestra",nSs4ZhlhUSA,Sacred cantatas
BWV61,61,"Nun komm, der Heiden Heiland",1053,A minor,1714,"For 3 voices, mixed chorus, orchestra",pLPSQMOFxbA,Sacred cantatas
BWV62,62,"Nun komm, der Heiden Heiland",1158,B minor,1724,"For 4 voices, mixed chorus, orchestra",sY0YKHw90dU,Sacred cantatas
BWV63,63,"Christen, ätzet diesen Tag",1651,C major,"1714–15, rev. 1729?","For 4 voices, mixed chorus, orchestra",WPuvLkO77_Y,Sacred cantatas
BWV64,64,"Sehet, welch eine Liebe",1207,E minor,1723,"For 3 voices, mixed chorus, orchestra",ggIMi9pW2ZU,Sacred cantatas
BWV65,65,Sie werden aus Saba alle kommen,1004,C major,1724,"For 2 voices, mixed chorus, orchestra",fTFQd0B8GSY,Sacred cantatas
BWV66,66,"Erfreut euch, ihr Herzen",1829,D major,1724,"For 3 voices, mixed chorus, orchestra",DvABG-qjKM0,Sacred cantatas
BWV67,67,Halt im Gedächtnis Jesum Christ,811,A major,1724,"For 3 voices, mixed chorus, orchestra",SaEcrdkYPhg,Sacred cantatas
BWV68,68,Also hat Gott die Welt geliebt,1006,D minor,1725,"For 2 voices, mixed chorus, orchestra",t0ZXL918Xp8,Sacred cantatas
BWV69,69,"Lobe den Herrn, meine Seele",1249,D major,1742–48,"For 4 voices, mixed chorus, orchestra",gk_f42OrhrM,Secular cantatas
BWV70,70,"Wachet, betet, seid bereit allezeit!",1488,C major,1723,"For 4 voices, mixed chorus, orchestra",TvJGU_TbnWc,Sacred cantatas
BWV71,71,Gott ist mein König,1106,C major,1708,"For 4 voices, mixed chorus, orchestra",B93E0DYIMEU,Secular cantatas
BWV72,72,Alles nur nach Gottes Willen,912,A minor,1726,"For 3 voices, mixed chorus, orchestra",YpZQNMJ2Yik,Sacred cantatas
BWV73,73,"Herr, wie du willt, so schick’s mit mir",830,G minor,"1724, rev. 1730–39?","For 3 voices, mixed chorus, orchestra",suCkBgDYuLg,Sacred cantatas
BWV74,74,"Wer mich liebet, der wird mein Wort halten",1175,C major,1725,"For 4 voices, mixed chorus, orchestra",QE2spYhCPVI,Sacred cantatas
BWV75,75,Die Elenden sollen essen,1796,E minor,1723,"For 4 voices, mixed chorus, orchestra",7rG8ygHgyOs,Sacred cantatas
BWV76,76,Die Himmel erzählen die Ehre Gottes,1978,C major,1723,"For 4 voices, mixed chorus, orchestra",koetgT-M5H4,Sacred cantatas
BWV77,77,"Du sollt Gott, deinen Herren, lieben",947,C major,1723,"For 4 voices, mixed chorus, orchestra",rPudq8WknB4,Sacred cantatas
BWV78,78,"Jesu, der du meine Seele",1393,G minor,1724,"For 4 voices, mixed chorus, orchestra",91Z4WTAzxeE,Sacred cantatas
BWV79,79,Gott der Herr ist Sonn und Schild,927,G major,1725,"For 3 voices, mixed chorus, orchestra",AHhzAx5ZkzA,Sacred cantatas
BWV80,80,Ein feste Burg ist unser Gott,1492,D major,"1727–31, rev. 1744–47?","For 4 voices, mixed chorus, orchestra",x0zBmcckFoM,Sacred cantatas
BWV81,81,"Jesus schläft, was soll ich hoffen?",1020,E minor,1724,"For 3 voices, mixed chorus, orchestra",3hqh3CAx8Bo,Sacred cantatas
BWV82,82,Ich habe genug,1351,C minor,1727,"For voice, oboe, strings, continuo",XopQG0Gjgmo,Sacred cantatas
BWV83,83,Erfreute Zeit im neuen Bunde,1027,F major,1724,"For 3 voices, mixed chorus, orchestra",qg1-OwgIdJU,Sacred cantatas
BWV84,84,Ich bin vergnügt mit meinem Glücke,809,E minor,1727,"For voice, mixed chorus, orchestra",JU-md4Zi0_8,Sacred cantatas
BWV85,85,Ich bin ein guter Hirt,965,C minor,1725,"For 4 voices, mixed chorus, orchestra",6CLl1aunkD4,Sacred cantatas
BWV86,86,"Wahrlich, wahrlich, ich sage euch",824,E major,1724,"For 4 voices, mixed chorus, orchestra",OPFNxK5JEbA,Sacred cantatas
BWV87,87,Bisher habt ihr nichts gebeten,1054,D minor,1725,"For 3 voices, mixed chorus, orchestra",78-RP_Tqyz4,Sacred cantatas
BWV88,88,"Siehe, ich will viel Fischer aussenden",1132,D major,1726,"For 4 voices, mixed chorus, orchestra",IBRzaDxyLeE,Sacred cantatas
BWV89,89,"Was soll ich aus dir machen, Ephraim",749,C minor,1723,"For 3 voices, mixed chorus, orchestra",9zpLIYW4r3I,Sacred cantatas
BWV90,90,Es reisset euch ein schrecklich Ende,759,D minor,1723,"For 3 voices, mixed chorus, orchestra",_N3EJG0ga4g,Sacred cantatas
BWV91,91,"Gelobet seist du, Jesu Christ",1005,G major,1724,"For 4 voices, mixed chorus, orchestra",SJa716LSba4,Sacred cantatas
BWV92,92,Ich hab in Gottes Herz und Sinn,1761,B minor,1725,"For 4 voices, mixed chorus, orchestra",JQ-f7WnkdUY,Sacred cantatas
BWV93,93,Wer nur den lieben Gott lässt walten,1193,C minor,1725,"For 4 voices, mixed chorus, 2 oboes, strings, continuo",sFw6IDdmm9s,Sacred cantatas
BWV94,94,Was frag ich nach der Welt,1502,D major,1724,"For 4 voices, mixed chorus, orchestra",TffaCf0BrHk,Sacred cantatas
BWV95,95,"Christus, der ist mein Leben",1081,G major,1723,"For 3 voices, mixed chorus, orchestra",sZ7R43p9SyI,Sacred cantatas
BWV96,96,"Herr Christ, der einge Gottessohn",1203,F major,1724,"For 4 voices, mixed chorus, orchestra",8Q7OGFMtpWk,Sacred cantatas
BWV97,97,In allen meinen Taten,1619,B♭ major,1734,"For 4 voices, mixed chorus, orchestra",Qog4b2OV9ns,Sacred cantatas
BWV98,98,"Was Gott tut, das ist Wohlgethan",867,B♭ major,1726,"For 4 voices, mixed chorus, orchestra",xKQMhBqbKUs,Sacred cantatas
BWV99,99,"Was Gott tut, das ist Wohlgethan",1037,G major,1724,"For 4 voices, mixed chorus, orchestra",t7HQzV180C4,Sacred cantatas
BWV100,100,"Was Gott tut, das ist Wohlgethan",1212,G major,1732–35,"For 4 voices, mixed chorus, orchestra",kjbWG_HhwjM,Sacred cantatas
BWV101,101,"Nimm von uns, Herr, du treuer Gott",1711,D minor,1724,"For 4 voices, mixed chorus, orchestra",MRQdwWA2c3w,Sacred cantatas
BWV102,102,"Herr, deine Augen sehen nach dem Glauben",2087,G minor,1726,"For 3 voices, mixed chorus, orchestra",8G776vcOT3c,Sacred cantatas
BWV103,103,Ihr werdet weinen und heulen,980,B minor,1725,"For 2 voices, mixed chorus, orchestra",Pvc5tGwOWro,Sacred cantatas
BWV104,104,"Du Hirte Israel, höre",1126,G major,1724,"For 2 voices, mixed chorus, orchestra",MQl42VeDqmU,Sacred cantatas
BWV105,105,"Herr, gehe nicht ins Gericht",1324,G minor,1723,"For 4 voices, mixed chorus, orchestra",-8g-9zXv1O8,Sacred cantatas
BWV106,106,Gottes Zeit ist die allerbeste Zeit (Actus Tragicus),1270,E♭ major,1707–08?,"For 2 voices, mixed chorus, orchestra",wnGOQt3tn-Q,Secular cantatas
BWV107,107,Was willst du dich betrüben,1078,B minor,1724,"For 3 voices, mixed chorus, orchestra",zL7WwJ7U6Kg,Sacred cantatas
BWV108,108,"Es ist euch gut, dass ich hingehe",961,A major,1725,"For 3 voices, mixed chorus, orchestra",q_fJ4LpT6C4,Sacred cantatas
BWV109,109,"Ich glaube, lieber Herr",1667,D minor,1723,"For 2 voices, mixed chorus, orchestra",sGMNUzYG7EQ,Sacred cantatas
BWV110,110,Unser Mund sei voll Lachens,1483,D major,1725,"For 4 voices, mixed chorus, orchestra",q8u2H4H9jeQ,Sacred cantatas
BWV111,111,"Was mein Gott will, das g'scheh allzeit",1028,A major,1725,"For 4 voices, mixed chorus, orchestra",-bJpyF-L87Y,Sacred cantatas
BWV112,112,Der Herr ist mein getreuer Hirt,683,G major,1731,"For 4 voices, mixed chorus, orchestra",KxTAvkDFaRQ,Sacred cantatas
BWV113,113,"Herr Jesu Christ, du höchstes Gut",1588,B minor,1724,"For 4 voices, mixed chorus, orchestra",KcosBkNGjPI,Sacred cantatas
BWV114,114,"Ach, lieben Christen, seid getrost",1442,G minor,1724,"For 4 voices, mixed chorus, orchestra",ulRnENvYBtc,Sacred cantatas
BWV115,115,"Mache dich, mein Geist, bereit",1316,G major,1724,"For 4 voices, mixed chorus, orchestra",SGsxi06yIWQ,Sacred cantatas
BWV116,116,"Du Friedefürst, Herr Jesu Christ",872,A major,1724,"For 4 voices, mixed chorus, orchestra",nFOvikKOff4,Sacred cantatas
BWV117,117,Sei Lob und Ehr dem höchsten Gut,1166,G major,1728–31?,"For 3 voices, mixed chorus, orchestra",dRbxpJoTtDM,Sacred cantatas
BWV118,118,"O Jesu Christ, mein's Lebens Licht",543,B♭ major,"1736–37, rev. 1746–47?","For mixed chorus, orchestra",y5i3OqXY_So,Motets
BWV119,119,"Preise, Jerusalem, den Herren",1363,C major,1730,"For 4 voices, mixed chorus, orchestra",Zx1LwDNfbRE,Secular cantatas
BWV120,120,"Gott, man lobet dich in der Stille",1202,A major,1728–29?,"For 4 voices, mixed chorus, orchestra",jyOsZkDOKN8,Secular cantatas
BWV121,121,Christum wir sollen loben schon,1154,E minor,1724,"For 4 voices, mixed chorus, orchestra",jipAV_mittk,Sacred cantatas
BWV122,122,Das neugeborne Kindelein,835,G minor,1724,"For 4 voices, mixed chorus, orchestra",-PKrAM0-PMg,Sacred cantatas
BWV123,123,"Liebster Immanuel, Herzog der Frommen",1221,B minor,1725,"For 3 voices, mixed chorus, orchestra",Mguz7f_suDY,Sacred cantatas
BWV124,124,Meinen Jesum lass ich nicht,868,E major,1725,"For 4 voices, mixed chorus, orchestra",KqUAtDA-i5A,Sacred cantatas
BWV125,125,Mit Fried und Freud ich fahr dahin,1366,E minor,1725,"For 3 voices, mixed chorus, orchestra",EUHXq8iLaCM,Sacred cantatas
BWV126,126,"Erhalt uns, Herr, bei deinem Wort",961,A minor,1725,"For 3 voices, mixed chorus, orchestra",xSaY0fX8LiA,Sacred cantatas
BWV127,127,"Herr Jesu Christ, wahr' Mensch und Gott",1127,F major,1725,"For 3 voices, mixed chorus, orchestra",uQghy8Ih3ZA,Sacred cantatas
BWV128,128,Auf Christi Himmelfahrt allein,924,G major,1725,"For 3 voices, mixed chorus, orchestra",_hOcLkaw-iA,Sacred cantatas
BWV129,129,"Gelobet sei der Herr, mein Gott",1036,D major,1726,"For 3 voices, mixed chorus, orchestra",567VGyQTRmE,Sacred cantatas
BWV130,130,"Herr Gott, dich loben alle wir",949,C major,1724,"For 4 voices, mixed chorus, orchestra",i9MWN4G2Lis,Sacred cantatas
BWV131,131,"Aus der Tiefe rufe ich, Herr, zu dir",1453,G minor,1707–08,"For 4 voices, mixed chorus, orchestra",vqqFQGV-H54,Sacred cantatas
BWV132,132,"Bereitet die Wege, bereitet die Bahn",974,A major,1715,"For 4 voices, mixed chorus, orchestra",iyotv-Bg0Ow,Sacred cantatas
BWV133,133,Ich freue mich in dir,1103,D major,1724,"For 4 voices, mixed chorus, orchestra",s_DsM1aPtZo,Sacred cantatas
BWV134,134,"Ein Herz, das seinen Jesum lebend weiss",1518,B♭ major,1724,"For 2 voices, mixed chorus, orchestra",HW63EPFPKZs,Sacred cantatas
BWV135,135,"Ach Herr, mich armen Sünder",894,E minor,1724,"For 3 voices, mixed chorus, orchestra",A8JWwEIl8gc,Sacred cantatas
BWV136,136,"Erforsche mich, Gott, und erfahre mein Herz",889,A major,1723,"For 3 voices, mixed chorus, orchestra",DtokTFwPz2I,Sacred cantatas
BWV137,137,"Lobe den Herren, den mächtigen König der Ehren",749,C major,1725,"For 4 voices, mixed chorus, orchestra",-_GUs6nEMYM,Sacred cantatas
BWV138,138,"Warum betrübst du dich, mein Herz",1020,B minor,1723,"For 4 voices, mixed chorus, orchestra",LtYl3JnZIKI,Sacred cantatas
BWV139,139,"Wohl dem, der sich auf seinen Gott",1133,E major,1724,"For 4 voices, mixed chorus, orchestra",ToNUuRH3I18,Sacred cantatas
BWV140,140,"Wachet auf, ruft uns die Stimme",1625,E♭ major,1731,"For 3 voices, mixed chorus, orchestra",JCULWK4tNuc,Sacred cantatas
BWV141,141,Das ist je gewisslich wahr,722,G major,—,"For 3 voices, mixed chorus, orchestra",roPrMd9LoWU,Sacred cantatas
BWV142,142,Uns ist ein Kind geboren,823,A minor,—,"For 3 voices, mixed chorus, orchestra",l7l_shXI3wk,Sacred cantatas
BWV143,143,"Lobe den Herrn, meine Seele",794,B♭ major,1708–14,"For 3 voices, mixed chorus, orchestra",DuwVMpzZ27A,Sacred cantatas
BWV144,144,"Nimm, was dein ist, und gehe hin",796,B minor,1724,"For 3 voices, mixed chorus, orchestra",VVUgK-07ROc,Sacred cantatas
BWV145,145,"Ich lebe, mein Herze, zu deinem Ergötzen",503,D major,1729,"For 3 voices, mixed chorus, orchestra",XeVapJ1yC_8,Sacred cantatas
BWV146,146,Wir müssen durch viel Trübsal,2190,D minor,1726,"For 4 voices, mixed chorus, orchestra",MORa0Y98Z1o,Sacred cantatas
BWV147,147,Herz und Mund und Tat und Leben,1919,C major,1723,"For 4 voices, mixed chorus, orchestra",XLElL_JJxuA,Sacred cantatas
BWV148,148,Bringet dem Herrn Ehre seines Namens,951,D major,1723,"For 2 voices, mixed chorus, orchestra",d5PaU5XdXFk,Sacred cantatas
BWV149,149,Man singet mit Freuden vom Sieg,1163,D major,1729,"For 4 voices, mixed chorus, orchestra",KjvtErl6U44,Sacred cantatas
BWV150,150,"Nach dir, Herr, verlanget mich",980,B minor,1706,"For 4 voices, mixed chorus, orchestra",LzT4APqCqRY,Secular cantatas
BWV151,151,"Süsser Trost, mein Jesus kömmt",1015,G major,"1726, rev. 1727?","For 4 voices, mixed chorus, orchestra",bpQSZ5Ejk2k,Sacred cantatas
BWV152,152,Tritt auf die Glaubensbahn,1144,,1714,"For 2 voices, orchestra",7L459WQ03c4,Sacred cantatas
BWV153,153,"Schau, lieber Gott, wie meine Feind",850,A minor,1723,"For 3 voices, mixed chorus, orchestra",zcZMRhLXMvk,Sacred cantatas
BWV154,154,Mein liebster Jesus ist verloren,914,B minor,1724,"For 3 voices, mixed chorus, orchestra",_MXQUHN_5iQ,Sacred cantatas
BWV155,155,"Mein Gott, wie lang, ach lange",695,D minor,1716,"For 4 voices, mixed chorus, orchestra",J6u2jB0OMF8,Sacred cantatas
BWV156,156,Ich steh mit einem Fuss im Grabe,982,F major,1729,"For 3 voices, mixed chorus, orchestra",_-2FVcWkPCs,Sacred cantatas
BWV157,157,"Ich lasse dich nicht, du segnest mich denn!",1003,B minor,1728,"For 2 voices, mixed chorus, orchestra",IkefhmWadTc,Sacred cantatas
BWV158,158,Der Friede sei mit dir,682,D major,1732–35,"For voice, mixed chorus, oboe, violin, continuo",x2Y2TY2Mkeo,Sacred cantatas
BWV159,159,"Sehet, wir geh'n hinauf gen Jerusalem",803,C minor,1729,"For 3 voices, mixed chorus, orchestra",CM_dri0nbEg,Sacred cantatas
BWV160,160,"Ich weiss, dass mein Erlöser lebt",914,C major,—,"For voice, bassoon, violin, continuo",HmTTjkeijow,Sacred cantatas
BWV161,161,"Komm, du süsse Todesstunde",1048,C major,1715,"For 2 voices, mixed chorus, orchestra",qHKhcljqw9Q,Sacred cantatas
BWV162,162,"Ach! ich sehe, itzt, da ich zur Hochzeit gehe",956,A minor,1716,"For 4 voices, mixed chorus, orchestra",BGnC2hp4vrM,Sacred cantatas
BWV163,163,Nur jedem das Seine,854,B minor,1715,"For 4 voices, mixed chorus, orchestra",xftImw5wYBc,Sacred cantatas
BWV164,164,"Ihr, die ihr euch von Christo nennet",1033,G minor,1725,"For 4 voices, mixed chorus, orchestra",oQKn3Czd87k,Sacred cantatas
BWV165,165,O heilges Geist- und Wasserbad,718,G major,1715,"For 4 voices, mixed chorus, orchestra",CYgp3MI-Jik,Sacred cantatas
BWV166,166,Wo gehest du hin?,875,B♭ major,1724,"For 3 voices, mixed chorus, orchestra",0JSD3ef-nwo,Sacred cantatas
BWV167,167,"Ihr Menschen, rühmet Gottes Liebe",890,G major,1723,"For 4 voices, mixed chorus, orchestra",dbTnOPhIZ4k,Sacred cantatas
BWV168,168,Tue Rechnung! Donnerwort,770,B minor,1725,"For 4 voices, mixed chorus, orchestra",DrWeWNTzFIM,Sacred cantatas
BWV169,169,Gott soll allein mein Herze haben,1354,D major,1726,"For voice, mixed chorus, orchestra",Vj-E3OnMATM,Sacred cantatas
BWV170,170,"Vergnügte Ruh, beliebte Seelenlust",1382,D major,1726,"For voice, orchestra",nIf-2mCKLqI,Sacred cantatas
BWV171,171,"Gott, wie dein Name, so ist auch dein Ruhm",878,D major,1728?,"For 4 voices, mixed chorus, orchestra",YO15GtwWXIs,Sacred cantatas
BWV172,172,"Erschallet, ihr Lieder",1111,D major,1714,"For 4 voices, mixed chorus, orchestra",7rfWMwe69Ak,Sacred cantatas
BWV173,173,Erhöhtes Fleisch und Blut,824,D major,1724,"For 4 voices, mixed chorus, orchestra",hmwC4Na9MKI,Sacred cantatas
BWV174,174,Ich liebe den Höchsten von ganzem Gemüte,1160,G major,1729,"For 3 voices, mixed chorus, orchestra",AYF32KdCjRs,Sacred cantatas
BWV175,175,Er rufet seinen Schafen mit Namen,855,G major,1725,"For 3 voices, mixed chorus, orchestra",zB6ScTiuzaU,Sacred cantatas
BWV176,176,Es ist ein trotzig und verzagt Ding,657,C minor,1725,"For 3 voices, mixed chorus, orchestra",C_XRaOLAkIw,Sacred cantatas
BWV177,177,"Ich ruf zu dir, Herr Jesu Christ",1398,G minor,1732,"For 3 voices, mixed chorus, orchestra",l5SG13CCeeA,Sacred cantatas
BWV178,178,Wo Gott der Herr nicht bei uns hält,1176,A minor,1724,"For 3 voices, mixed chorus, orchestra",Jl8szypQnPM,Sacred cantatas
BWV179,179,"Siehe zu, dass deine Gottesfurcht",993,G major,1723,"For 3 voices, mixed chorus, orchestra",hP5zWviUyjM,Sacred cantatas
BWV180,180,"Schmücke dich, o liebe Seele",1194,F major,1724,"For 4 voices, mixed chorus, orchestra",1nZjYDfxvNQ,Sacred cantatas
BWV181,181,Leichtgesinnte Flattergeister,824,E minor,"1724, rev. 1743–46","For 4 voices, mixed chorus, orchestra",PJipUQzgrqA,Sacred cantatas
BWV182,182,"Himmelskönig, sei willkommen",1904,G major,1714,"For 3 voices, mixed chorus, orchestra",2Ubc4pRo4oE,Sacred cantatas
BWV183,183,Sie werden euch in den Bann tun,993,A minor,1725,"For 4 voices, mixed chorus, orchestra",DlQNnu66qho,Sacred cantatas
BWV184,184,Erwünschtes Freudenlicht,1264,G major,1724,"For 3 voices, mixed chorus, orchestra",54KMrqxEJRU,Sacred cantatas
